,pred_prob,target
3,497.1974,1
41,405.05328,0
72,408.2157,1
126,459.19412,0
133,471.6727,1
150,462.56708,0
159,427.00803,1
194,465.924,0
253,446.99802,1
269,486.70386,1
278,494.71332,1
349,499.62845,1
356,422.773,0
371,490.7531,1
378,470.40976,0
393,441.84995,0
414,473.12146,0
427,404.49948,1
481,426.99902,1
488,489.0551,1
561,455.20224,0
562,434.78986,1
569,485.4285,1
628,434.8264,0
658,407.88348,0
663,431.51328,0
668,471.12094,1
766,451.022,1
841,460.30048,0
888,401.08936,0
895,420.71823,0
901,475.06863,1
928,469.12982,1
943,461.17398,1
952,400.92017,0
976,499.28305,0
1043,434.77228,1
1053,438.8924,1
1096,428.05026,0
1168,414.87854,1
1171,453.41122,0
1244,424.3751,0
1269,405.46802,1
1303,436.92395,0
1365,479.62265,0
1385,493.6377,0
1395,485.9844,1
1508,409.22052,1
1510,445.778,0
1517,423.56256,0
1526,473.02515,1
1578,449.69208,1
1618,401.45453,1
1657,439.34732,1
1678,460.23904,1
1685,493.5364,1
1691,427.9429,1
1763,486.74136,1
1784,407.0733,1
1785,439.38858,1
1829,445.60382,0
1833,405.48923,1
1834,410.771,0
1849,469.73062,0
1906,475.90436,1
1926,495.94333,0
1965,426.69733,0
1976,453.3183,0
2034,455.4411,0
2090,452.47562,0
2097,400.40054,0
2136,471.4282,1
2153,489.4649,1
2161,453.7317,0
2187,441.28333,0
2189,408.22415,0
2263,425.15527,1
2324,472.5681,1
2339,483.0513,1
2347,488.13525,0
2444,495.62897,1
2463,437.7878,1
2483,427.5022,0
2511,469.8419,1
2549,448.5967,1
2576,436.98502,0
2657,414.5703,1
2699,417.79547,0
2704,498.9391,0
2736,426.42627,1
2781,476.04004,1
2789,417.7564,0
2794,410.23978,0
2812,445.48334,1
2827,434.5417,0
2839,405.13315,0
2863,414.71582,1
2897,440.4224,0
2916,469.17963,0
2920,420.4759,1
2933,434.09595,1
2934,427.79526,1
2947,482.7424,0
2950,463.2613,0
2954,461.03873,0
2960,412.32855,1
2964,432.7345,0
2981,404.69348,0
3004,410.62726,0
3006,493.5654,1
3037,492.22363,0
3106,419.52994,0
3143,496.93732,1
3260,467.37378,0
3314,430.9521,1
3352,440.21774,1
3360,456.1529,1
3385,432.335,1
3388,403.8166,0
3404,415.31802,0
3407,450.34586,0
3450,492.75653,0
3462,477.20016,0
3522,408.93045,0
3530,497.7411,1
3551,484.30878,0
3561,402.95724,0
3609,498.03104,0
3652,445.28418,1
3656,406.80014,1
3661,451.53674,0
3696,464.34418,0
3704,483.9915,1
3753,418.93698,0
3756,491.38095,1
3763,412.22122,0
3769,437.3452,1
3902,463.74493,1
3926,423.86316,0
3942,410.51114,0
3947,499.46222,0
4020,454.76187,1
4042,497.65866,0
4061,456.04578,1
4064,468.11102,0
4067,405.76425,0
4082,453.9143,1
4119,485.1539,0
4120,415.6462,0
4134,466.71143,1
4162,409.83386,1
4204,442.717,0
4216,443.52902,1
4267,438.33545,0
4273,413.70593,0
4274,441.55356,1
4328,468.25223,1
4362,492.38104,0
4391,448.20322,0
4421,478.6147,1
4428,412.14178,0
4439,426.69733,0
4470,450.13095,1
4485,466.45618,0
4496,490.41772,0
4503,419.64276,0
4512,437.45578,0
4527,476.53653,1
4540,412.4729,0
4577,464.28558,0
4585,466.6565,0
4630,403.7628,1
4667,465.67667,1
4676,492.18625,1
4691,495.95776,0
4700,422.35806,0
4755,453.60834,0
4789,496.28806,0
4809,477.63162,0
4844,440.0894,1
4858,413.69617,1
5013,403.50568,0
5028,420.0941,0
5030,438.09198,0
5069,414.0758,1
5083,411.31274,0
5101,417.85034,1
5174,455.4709,1
5175,452.3381,0
5181,478.56735,0
5233,435.33755,1
5237,450.23483,0
5274,430.8377,0
5311,421.604,0
5324,496.98853,1
5357,450.6011,0
5368,426.264,0
5382,451.34335,0
5406,416.38992,0
5426,423.82495,1
5428,446.28906,1
5436,412.22726,1
5443,404.74567,1
5468,464.14456,0
5482,433.51004,0
5489,439.5746,0
5526,413.84274,1
5537,401.69092,1
5538,494.6619,1
5552,421.49957,0
5559,412.39993,1
5577,467.01202,0
5590,406.67545,0
5613,484.93372,1
5619,412.5964,0
5673,433.19598,0
5683,449.08365,1
5751,427.6948,1
5766,475.03784,1
5836,441.57217,0
5870,499.68793,1
5920,459.8842,1
5926,411.41965,0
5946,493.93973,0
5954,467.45383,0
6018,441.08957,0
6019,412.5112,0
6052,402.79312,0
6056,418.72583,1
6073,403.88504,0
6124,459.33517,0
6152,477.05997,1
6172,432.9581,1
6245,497.5033,0
6256,439.4761,0
6278,492.694,0
6283,440.86,1
6294,476.26068,1
6295,494.89026,1
6318,443.47955,0
6320,490.00482,0
6362,403.34494,0
6460,402.328,1
6491,406.3847,0
6515,464.67014,1
6545,437.9148,0
6546,463.75262,1
6573,452.24365,1
6609,448.35806,0
6618,482.46613,0
6680,443.81406,0
6759,484.34247,0
6763,441.47723,1
6793,480.65036,0
6867,412.5112,1
6906,439.8119,0
6951,415.524,0
6992,491.72797,0
6996,483.51047,1
7031,403.84702,0
7039,428.5819,0
7094,427.84332,0
