,pred_prob,target
31,849.10406,1
78,879.9527,1
84,807.6142,0
182,804.82996,1
186,812.20953,1
354,805.21814,0
447,833.1012,1
471,822.39197,0
501,836.7751,0
516,872.6656,1
518,853.7165,1
558,804.60254,1
591,812.33276,0
779,877.72473,1
785,898.2336,0
805,801.7195,1
822,856.015,1
844,816.32886,1
867,836.0539,1
923,850.52765,1
954,807.8379,1
960,835.30835,1
971,843.4201,1
1091,833.70276,1
1182,839.4884,1
1247,856.85547,1
1354,889.401,1
1359,869.3773,1
1376,818.54065,1
1458,816.7769,1
1471,849.99554,1
1514,821.6151,0
1588,827.525,1
1689,857.18475,1
1731,835.17285,1
1744,805.5695,1
1769,870.8922,0
1873,875.5811,0
1910,879.3367,1
1963,805.48206,1
1999,810.8898,1
2003,894.39154,1
2045,870.09595,1
2060,817.5373,1
2132,816.48944,1
2137,897.4908,1
2151,826.8314,1
2246,806.4223,1
2365,827.7044,1
2412,818.4136,1
2584,857.24194,1
2633,840.4079,0
2637,837.8072,1
2658,823.9684,1
2665,838.69336,1
2676,892.757,1
2747,807.456,1
2775,863.6098,1
2817,831.3834,0
2844,878.29614,1
2859,899.33734,1
2913,822.91907,0
2926,834.4981,1
2927,883.01996,0
2963,829.4583,1
2976,877.2902,1
3027,800.7447,1
3061,885.5078,1
3156,827.80194,1
3174,842.114,1
3188,851.64417,0
3230,827.0957,1
3242,877.2131,1
3250,815.8388,0
3293,806.6783,0
3313,858.397,0
3344,814.9114,1
3365,828.92993,1
3376,848.43304,1
3473,817.52454,1
3476,853.0444,0
3506,828.3651,1
3512,826.1228,1
3519,891.62976,1
3536,843.01984,1
3550,830.4538,0
3618,815.8719,1
3658,842.4324,1
3699,817.2865,1
3708,827.83606,1
3710,819.56323,0
3715,835.62036,1
3724,827.4256,1
3825,818.7022,0
3884,805.89154,1
4028,863.44574,0
4078,841.3092,1
4170,838.7167,0
4233,884.6921,1
4321,833.3531,1
4397,845.3429,0
4418,877.773,1
4471,868.27356,1
4511,829.05133,1
4543,871.3429,1
4606,825.66644,1
4613,827.5921,1
4622,892.6384,1
4635,837.0862,1
4664,844.5312,1
4713,846.04565,0
4742,829.4173,1
4781,807.38293,1
4800,806.36176,0
4848,815.76,1
4935,821.2211,1
5004,818.82416,1
5039,851.39435,1
5141,830.51526,1
5204,803.1734,1
5206,883.65857,1
5277,841.1596,1
5288,802.6957,1
5361,802.165,1
5404,834.2008,1
5408,872.87317,1
5445,816.69556,1
5447,821.90234,1
5504,830.27234,0
5524,813.94806,1
5566,894.6256,0
5733,862.9966,0
5742,827.17346,0
5744,857.8839,1
5764,837.6677,1
5784,875.15857,1
6022,813.80817,0
6062,824.5476,0
6129,807.54297,0
6196,808.7467,0
6258,869.1632,0
6273,801.26263,1
6390,872.0462,1
6392,810.5632,1
6572,849.34106,0
6584,812.7023,0
6606,846.2816,0
6683,858.8984,1
6688,816.4364,1
6700,827.58844,1
6800,896.5921,1
6803,839.2738,1
6810,812.7406,1
6881,800.7699,1
7070,875.67706,1
7115,821.2835,1
7144,841.2241,0
7191,824.44104,1
7212,822.5142,1
7227,883.22577,1
7261,824.5601,1
7338,847.8811,0
7364,803.49945,1
7375,832.67847,1
7417,815.51746,1
7436,866.085,1
7457,864.2627,1
7473,839.85175,1
7488,848.8268,1
7611,885.3625,0
7661,829.5122,1
7693,841.8351,1
7769,885.6435,1
7822,812.6555,1
7852,816.42163,1
7929,830.7093,1
8000,845.0618,0
8051,843.462,0
8162,806.4988,0
8227,802.86145,1
8249,810.6168,1
8357,800.827,1
8363,811.2608,1
8402,824.2421,1
8579,827.7271,1
8674,854.74725,1
8693,816.1096,1
8712,834.7743,1
8725,890.3146,1
8744,897.95795,0
8766,893.5209,1
8812,889.98584,1
8875,879.16425,0
8963,889.3113,1
8986,867.27484,1
