,pred_prob,target
9,331.93314,0
20,308.87732,0
32,335.47623,0
40,358.6196,0
51,342.13632,0
54,385.80795,0
60,312.58978,0
86,362.813,1
88,361.02698,0
97,301.56613,1
112,314.92014,0
114,321.32474,0
128,383.56723,1
140,306.32306,0
144,334.75293,0
148,329.92297,0
158,330.53177,0
180,385.5558,0
188,399.13763,0
189,338.8016,1
199,319.39447,0
213,392.62054,0
223,333.69382,0
230,338.20972,1
250,384.52423,0
252,381.48312,1
297,351.00287,1
307,320.0358,1
317,391.3065,0
319,365.63223,1
325,392.26276,0
345,301.31003,0
353,346.17722,0
370,333.25842,0
372,319.05072,1
404,355.19394,1
469,301.8601,1
498,308.6805,0
556,373.39618,1
567,321.6754,0
573,300.5942,0
585,309.94223,0
589,381.71155,0
612,349.2972,0
613,330.8814,0
625,303.14584,1
632,333.57626,0
645,342.02896,1
682,337.91898,1
699,316.1008,1
726,333.51892,0
740,361.53287,1
769,343.0122,1
772,386.3844,1
787,314.97763,0
804,335.3556,0
823,323.25476,0
825,325.1482,1
831,343.27292,0
834,301.7934,1
839,347.45956,0
855,324.95877,0
866,371.87952,0
884,318.5244,1
906,330.90607,0
915,329.24014,0
918,381.50528,0
919,331.11853,0
942,365.54,1
953,386.59915,1
962,335.52933,0
978,372.75607,0
999,316.09302,0
1004,314.8202,0
1064,351.0745,0
1073,307.0728,0
1082,314.07446,0
1084,392.45978,1
1085,392.13492,0
1090,363.81793,0
1108,315.73645,1
1119,369.18552,1
1132,358.40994,0
1159,313.16724,1
1166,364.89542,0
1179,338.00092,1
1188,383.3307,0
1194,314.1657,0
1195,324.51123,1
1203,371.1789,0
1213,375.36014,0
1223,370.13965,1
1267,332.86584,1
1313,333.72543,0
1314,365.21976,0
1316,322.09668,1
1325,300.59207,0
1336,335.32922,0
1358,370.30536,0
1367,329.2428,0
1377,383.15347,1
1412,361.4353,0
1415,304.69226,1
1417,306.53293,0
1466,333.30972,0
1494,309.0029,0
1501,354.8327,1
1503,319.55307,0
1511,300.02783,0
1516,313.51648,0
1555,304.4013,1
1563,324.97104,0
1564,342.2873,0
1566,302.79095,1
1568,337.753,0
1571,304.83563,0
1608,323.9932,0
1637,304.55203,0
1646,310.9721,0
1648,317.26053,0
1666,310.9436,0
1716,371.48404,0
1719,346.61005,0
1727,310.04745,0
1772,306.90802,1
1781,313.73502,0
1812,316.48984,0
1814,364.39374,0
1830,384.5747,1
1848,369.73276,1
1858,354.49884,0
1860,303.4302,0
1874,307.04205,0
1875,319.08154,1
1884,392.28558,0
1885,316.70102,0
1891,308.6251,0
1893,382.439,0
1921,366.02414,0
1925,329.9351,1
1934,386.61584,0
1977,384.92267,0
1978,317.5759,1
2005,347.5044,1
2023,300.6173,0
2027,316.96606,1
2031,383.5918,0
2037,317.0776,0
2047,378.8665,0
2058,342.52203,0
2061,301.4343,1
2066,301.36276,0
2084,369.596,0
2094,312.04892,1
2098,344.03934,0
2126,394.77304,0
2154,392.54773,0
2201,363.74942,0
2211,343.89627,0
2222,338.72476,0
2238,320.1057,0
2262,328.9408,1
2309,309.22153,0
2337,339.98022,0
2384,364.62158,0
2385,302.4712,0
2387,312.9528,0
2430,376.61526,1
2434,343.45218,0
2460,322.06552,0
2475,364.7391,0
2520,328.75214,1
2531,305.58942,0
2533,328.3742,1
2556,325.3668,0
2561,326.43604,1
2570,341.08948,0
2571,306.40506,0
2597,359.39835,0
2599,365.80206,0
2619,353.69537,1
2626,337.80573,0
