,pred_prob,target
16,525.13477,0
64,504.11798,0
73,599.72723,0
115,537.8321,0
249,568.95605,1
259,547.63696,0
273,549.49194,1
316,591.5394,1
335,517.24713,1
340,561.2194,0
387,578.72144,0
437,500.56738,0
450,579.5537,1
472,587.16815,1
575,541.4303,1
614,526.55994,1
617,559.34094,1
696,545.1029,1
754,557.2533,0
757,512.1984,0
810,586.6322,0
817,557.34875,0
824,505.66287,0
827,500.02545,0
830,528.4565,1
837,517.13544,1
843,569.5689,0
861,534.70123,0
871,531.9964,0
902,548.6084,1
911,573.37854,1
917,535.9844,1
940,582.31665,1
969,581.8714,1
986,541.7693,0
988,597.5979,1
1034,556.43225,0
1046,539.2195,0
1063,539.26025,1
1069,560.7556,0
1071,548.76166,0
1134,573.6792,1
1167,506.36084,1
1169,556.8731,0
1183,500.73593,1
1190,524.3985,0
1208,529.3899,1
1230,585.84845,1
1233,562.9171,1
1235,529.6065,1
1240,530.84485,0
1251,518.12213,1
1284,515.8005,0
1299,530.0801,1
1321,598.14764,1
1373,595.61755,1
1418,536.4756,0
1438,567.70264,1
1475,587.48535,0
1532,583.1569,1
1607,544.60706,0
1621,507.99197,1
1629,547.7144,1
1647,580.9609,1
1650,582.0083,1
1791,501.06454,1
1821,543.7891,0
1839,551.56287,1
1863,561.34625,0
1933,543.1507,0
1951,538.2846,0
1982,534.50073,1
1990,550.44446,0
1992,545.3236,0
2029,568.77466,0
2135,562.66754,1
2178,526.31696,1
2225,531.1714,1
2253,563.7014,1
2285,555.8027,1
2329,534.68805,0
2371,522.53174,0
2383,582.67334,1
2390,568.3353,1
2416,579.20996,0
2442,584.23553,1
2468,548.215,0
2477,547.7987,0
2482,531.23834,0
2553,558.6911,0
2590,563.73584,0
2645,557.07416,0
2693,541.069,0
2707,536.9092,0
2714,535.9355,1
2776,500.64276,1
2779,597.81903,1
2810,536.19745,1
2813,502.30164,1
2814,545.2594,1
2835,531.76306,0
2891,514.30475,0
3003,598.66254,1
3013,548.7211,0
3035,514.6821,1
3070,557.79584,1
3102,577.9928,0
3116,580.4108,1
3172,529.61725,1
3182,556.39813,0
3222,502.31552,0
3243,513.17474,1
3278,564.03937,0
3286,591.92084,1
3391,576.6905,1
3394,528.79175,1
3433,597.2181,1
3436,501.82217,0
3454,551.26685,1
3475,553.408,0
3481,516.05914,0
3497,558.69415,0
3537,585.77423,0
3580,568.9898,0
3586,590.0632,0
3642,593.5327,0
3664,591.81824,1
3680,548.9184,1
3694,515.9159,0
3713,538.38916,1
3740,529.7483,0
3799,502.04807,0
3804,567.04846,0
3809,551.3709,1
3834,506.80353,1
3915,582.0719,0
3927,564.9658,0
4025,519.8764,1
4059,505.63443,1
4068,549.1051,1
4092,560.35626,1
4115,587.73883,1
4147,579.00183,0
4152,521.04865,1
4168,518.5005,1
4178,539.0692,0
4195,560.5485,1
4227,534.95935,1
4243,557.7559,1
4354,520.3602,1
4407,588.28375,1
4502,506.69754,0
4519,595.7329,1
4532,520.3718,1
4598,501.1503,0
4600,528.19543,1
4616,590.2039,0
4708,599.0676,1
4709,545.38055,1
4746,561.8283,0
4840,549.6625,1
4910,510.60492,1
4911,526.2465,1
4927,553.34595,0
4937,516.48584,1
4952,514.0826,0
5167,598.9647,0
5170,560.7491,1
