,pred_prob,target
0,64.493744,0
2,45.739296,0
6,75.91008,0
7,11.820198,0
10,33.02352,0
11,85.78466,0
18,69.54324,0
19,68.37616,0
24,88.29889,0
25,50.03611,0
29,33.735065,0
33,47.94833,0
35,21.564402,0
36,94.24914,0
38,24.121834,0
39,47.02554,0
45,91.641785,0
48,77.07935,0
49,45.591305,0
50,20.7531,1
53,62.03943,0
55,64.88792,0
76,37.555283,0
77,46.0781,0
89,84.30164,0
91,90.5786,0
94,25.298445,0
95,97.72484,0
98,73.490265,0
100,60.086338,0
101,29.743397,0
107,44.622463,0
110,23.395657,0
111,88.67526,0
113,66.61261,0
118,40.592163,0
123,91.69463,0
129,82.11266,0
137,64.27273,0
138,48.627014,0
141,32.38879,0
142,53.63504,0
145,79.28238,0
151,88.36195,0
153,27.266062,0
160,51.75711,0
163,91.50277,0
167,97.35874,0
172,60.607067,0
173,84.98931,0
177,87.21102,1
178,36.762794,0
183,78.04251,0
187,92.88251,1
190,42.04728,0
191,61.388214,0
195,18.923273,1
196,39.76944,0
197,53.863834,0
201,64.2397,0
202,30.383448,0
203,69.69602,0
205,61.707657,0
209,56.20709,0
212,42.49044,0
217,38.339893,0
220,18.11945,0
222,79.221924,0
225,62.273106,0
226,22.640629,0
228,37.377457,0
237,59.27713,0
241,65.6483,0
244,26.811945,0
245,69.24995,0
247,93.19402,0
262,50.94913,0
270,34.714455,0
275,40.781303,1
276,28.200586,0
281,48.213486,0
282,73.6411,0
286,89.54465,1
287,67.22756,0
293,65.8183,0
294,60.67307,1
298,53.39218,0
300,70.26862,0
301,63.529156,0
302,16.02038,1
315,21.797174,0
318,23.144218,0
323,75.99962,0
326,37.72754,0
327,10.872001,0
328,27.436043,0
336,97.718155,0
338,95.93627,0
342,52.319756,0
344,74.54033,0
347,29.60469,0
357,33.827324,0
359,31.674252,0
363,99.5816,0
367,73.09707,0
369,36.95794,1
374,29.250372,0
376,31.140303,0
379,27.5482,0
380,85.37891,0
383,91.439865,0
384,44.057575,0
385,39.48791,0
394,25.706062,0
397,71.705826,0
399,83.7992,0
401,48.797997,0
405,90.312706,0
410,49.60839,0
417,74.96234,0
421,83.10493,0
423,78.421906,0
424,59.358772,0
426,98.84934,1
430,32.12488,0
434,74.194145,0
435,6.6734247,0
436,63.593834,0
439,91.383286,0
448,78.127594,0
453,24.94357,0
457,8.314516,0
459,58.242626,0
460,49.19735,0
461,56.55173,0
462,72.369804,0
463,44.154526,0
473,44.50927,0
475,86.44812,0
477,15.397311,0
478,56.776783,0
480,42.15387,0
491,48.65177,0
492,65.34528,0
497,96.38602,0
502,65.41061,0
505,24.47345,0
506,28.451258,0
510,87.9479,0
519,40.00499,0
521,77.27098,0
523,62.10324,0
524,85.823875,0
526,4.908418,0
527,88.78923,1
528,30.904053,0
532,33.96604,0
534,47.34083,0
544,31.637915,0
545,94.75861,0
548,57.940723,0
549,86.41405,0
551,68.97883,0
552,86.627594,0
554,63.182682,0
557,61.66902,0
574,17.450562,0
576,99.464195,0
577,54.160522,0
578,29.518131,0
580,13.900843,0
582,62.01326,0
584,88.55051,0
587,46.255547,0
588,83.35679,1
590,33.179443,0
592,28.493118,0
597,63.97643,0
599,54.37244,0
601,78.073006,1
605,83.487206,0
606,72.63712,0
609,84.36651,0
610,35.870956,0
611,71.94312,0
616,61.982597,0
619,98.93832,0
620,87.97659,1
621,11.720146,0
622,51.228016,0
623,57.627754,0
633,12.870694,0
634,69.40094,0
636,70.93819,0
637,68.548256,1
643,89.645744,0
644,49.159832,1
646,92.144394,0
647,84.59559,0
650,63.92736,0
651,8.620767,0
657,53.87707,0
659,92.467,0
662,50.013004,0
665,90.968376,0
671,18.400501,0
672,58.224503,0
674,69.845764,0
676,74.431984,0
677,82.36711,1
678,35.152527,0
679,62.425526,0
680,41.023464,0
683,78.335915,0
684,44.707653,0
685,85.96463,0
689,69.916985,1
708,71.10833,0
709,41.249878,1
710,48.65698,1
711,97.79274,0
714,68.67061,0
715,59.61276,0
719,23.572176,0
720,60.90178,1
721,52.848534,0
724,36.497505,0
729,40.951836,0
730,98.745255,1
734,43.754803,0
744,15.359319,0
745,42.851276,0
747,26.775406,1
748,50.657997,0
749,53.596645,0
752,70.230484,1
760,53.31206,0
763,99.57545,0
764,84.28823,0
768,44.049553,0
770,73.24455,0
771,74.98987,0
777,92.92826,0
780,35.010544,0
781,70.59507,0
784,71.32258,0
788,92.65392,1
789,53.6647,0
790,46.60876,0
792,29.859848,0
795,48.256805,0
796,60.784958,0
797,81.038635,0
798,42.71282,0
802,48.060852,0
809,68.4749,0
812,74.730225,0
818,53.998714,0
819,25.729828,0
829,72.76769,0
836,34.097893,0
846,68.370926,1
849,19.119621,0
852,59.812717,0
857,34.35267,0
859,62.16802,0
864,96.6681,0
865,36.78715,0
868,61.825657,0
875,64.69525,0
877,21.45745,1
878,54.866856,0
881,53.021275,0
883,71.6592,0
885,91.032524,0
887,32.926,0
894,44.522907,0
897,92.15913,0
900,95.35909,0
903,47.761127,0
905,97.23276,0
912,22.947107,0
921,40.93028,0
922,56.764034,0
931,15.148382,0
936,66.80146,0
937,58.32744,0
941,59.39125,1
944,77.41236,0
951,21.555021,0
957,79.06221,0
959,64.65872,0
963,82.910194,0
973,39.567726,0
974,95.03253,0
979,52.337345,0
982,93.829056,0
983,56.463264,0
984,34.319183,0
991,37.518574,0
992,36.492634,0
994,45.94511,0
995,84.08997,0
998,81.86555,0
1000,48.81349,0
1001,36.06465,0
1002,66.59851,0
1007,28.52463,0
1011,83.035034,0
1012,56.543694,0
1014,79.1422,1
1016,44.41345,0
1019,58.23346,0
1021,70.032295,0
1024,28.244019,0
1027,21.180672,0
1028,60.861076,0
1029,46.331223,0
1030,60.725586,0
1036,45.84124,1
1037,60.435043,0
1042,78.84324,0
1044,46.765648,1
1047,85.75678,1
1050,40.93768,0
1051,36.533264,0
1054,66.76492,0
1055,34.183266,0
1056,28.572699,0
1059,92.72166,0
1060,10.002195,0
1066,75.35919,0
1067,94.66417,0
1068,17.667753,1
1070,58.973816,0
1074,69.78574,0
1077,77.048546,0
1080,22.442047,0
1087,38.38621,0
1092,48.46501,1
1093,73.760704,1
1097,75.10387,0
1099,12.22801,0
1101,69.72738,0
1103,4.8619742,1
1106,35.80472,0
1107,95.20683,0
1110,43.850956,0
1112,25.273813,0
1114,49.414555,1
1120,47.081093,0
1122,73.11846,0
1125,49.339996,0
1126,30.067427,0
1133,32.21624,0
1135,73.49802,0
1137,45.476147,0
1141,36.927574,0
1142,30.368057,0
1144,47.543953,0
1148,48.77881,0
1156,17.96891,0
1157,86.62924,1
1158,68.6711,0
1163,23.049282,0
1172,27.222906,0
1174,47.76306,0
1176,73.04691,0
1178,77.40368,0
1184,60.31143,0
1186,47.194717,1
1191,70.517136,0
1192,26.31859,0
1193,98.772766,0
1196,31.385235,0
1204,25.401041,0
1206,80.082565,0
1214,40.936554,0
1220,20.543858,0
1222,60.239155,0
1225,55.24008,0
1227,68.68658,0
1229,37.55835,1
1231,70.865906,0
1232,98.35627,0
1234,98.94261,0
1236,71.8762,0
1239,68.68798,0
1241,52.581264,0
1243,85.93908,0
1245,59.242195,0
1246,65.08128,0
1254,90.79408,1
1255,36.742912,0
1256,59.293526,0
1261,19.412743,0
1264,25.716158,0
1266,54.589405,0
1271,57.950996,0
1275,98.907074,0
1276,82.08094,0
1277,91.91948,0
1280,19.687826,0
1281,51.44915,0
1282,55.578075,0
1285,11.323198,0
1286,61.882168,0
1287,67.68299,0
1288,17.573994,0
1289,25.213207,0
1290,99.32346,0
1291,74.78053,0
1295,50.281128,0
1296,35.692654,0
1297,48.606625,0
1298,45.256912,0
1301,38.19855,0
1302,59.105686,0
1305,77.826775,0
1306,12.709856,0
1307,95.34974,1
1308,72.7395,0
1309,23.157267,0
1312,64.84463,0
1317,79.6311,0
1318,70.17633,0
1319,84.06952,0
1322,91.34934,1
1323,80.97884,0
1324,21.349617,0
1327,33.1157,0
1328,73.457,1
1331,3.921214,0
1337,26.064413,0
1338,83.83228,0
1344,54.828278,0
1346,97.577156,0
1347,71.19815,0
1348,91.21976,1
1355,30.20666,0
1356,81.26756,0
1360,34.148933,0
1362,96.74425,0
1363,24.190033,0
1369,88.40291,0
1371,68.9807,0
1379,55.83023,0
1380,72.06777,0
1382,70.35599,0
1383,67.06822,0
1388,28.124018,0
1392,38.98596,0
1393,28.902254,1
1394,26.465567,0
1396,52.29855,0
1399,43.1493,0
1403,22.708178,0
1405,81.852844,0
1406,48.438354,0
1410,44.669136,0
1411,70.2754,0
1413,35.746662,0
1422,43.591087,0
1424,94.78358,0
1425,51.90053,0
1426,10.698042,0
1429,72.878815,0
1431,71.98598,0
1434,84.14946,0
1437,85.064896,1
1441,46.53004,0
1442,39.483513,0
1447,9.934022,0
1449,69.14162,0
1451,86.557144,0
1452,49.721764,0
1455,56.369926,0
1456,35.757435,0
1459,32.42632,0
1460,47.203094,0
1461,74.12666,0
1465,63.786587,0
1472,61.798363,0
1473,87.00186,0
1476,62.319843,0
1477,80.899994,0
1483,69.112755,0
1484,33.871872,1
1486,30.821129,0
1490,82.41157,0
1491,60.709446,0
1492,71.28668,0
1493,43.88124,0
1497,61.08108,0
1498,66.69236,0
1499,63.794003,0
1500,59.86487,0
1505,27.728806,0
1506,34.35085,0
1515,81.3248,0
1518,30.786245,0
1520,59.915806,0
1523,42.947563,0
1527,27.155937,0
1531,42.74308,0
1533,27.63423,0
1534,31.96416,0
1538,61.05748,0
1539,60.36885,0
1540,77.34343,0
1541,28.39165,1
1544,62.064888,1
1547,81.92719,0
1548,80.76994,0
1551,48.743652,0
1556,83.958755,0
1557,77.47784,0
1558,84.00423,0
1560,39.040905,0
1567,48.249096,0
1569,70.974945,0
1570,61.77465,1
1573,21.860632,0
1579,54.01838,1
1580,24.90823,0
1581,48.24738,0
1583,38.07629,0
1584,24.672709,0
1585,58.723537,0
1586,90.56854,0
1587,46.7587,0
1592,65.1283,0
1593,44.91797,0
1594,66.66536,0
1595,82.33031,0
1596,32.405964,0
1597,39.442364,0
1598,94.7617,0
1600,21.625273,0
1601,98.22222,0
1604,43.525013,0
1611,72.85733,0
1612,46.160778,0
1615,78.939186,0
1616,72.37467,0
1619,51.473133,0
1620,87.55939,1
1622,82.157295,0
1624,88.54916,0
1631,98.461426,0
1632,37.593754,0
1635,76.28425,0
1640,59.860355,0
1642,76.28826,0
1643,28.77112,0
1651,47.208,0
1654,63.565918,0
1660,97.9403,0
1662,17.802256,0
1669,39.60761,0
1672,48.720467,0
1674,76.365746,0
1675,34.234474,0
1677,15.972877,0
1679,66.0803,0
1686,87.90231,0
1692,81.9285,0
1693,52.74602,0
1695,60.73765,0
1696,29.17545,0
1697,41.106636,0
1698,92.511444,0
1700,57.241177,0
1704,92.91262,0
1715,98.93741,0
1720,44.57972,0
1723,89.36702,0
1726,79.40675,0
1728,70.49825,0
1729,94.58801,0
1730,51.814907,0
1735,67.879616,0
1739,92.81364,0
1740,79.963684,0
1742,17.538185,0
1743,56.99799,0
1745,94.12846,0
1751,20.70516,0
1759,29.495283,0
1760,12.875875,0
1761,82.32623,0
1766,33.687912,1
1768,70.03565,0
1774,96.773994,1
1776,17.44291,0
1777,97.077705,0
